Vertices,SpeedUp_1000,GPU,seq,,,,Vertices,Speedups_500,,
1000,8.894736842,0.000095,0.000845,,,,1000,2.478632479,0.000117,0.00029
2000,14.67532468,0.000077,0.00113,,,,2000,6.266666667,0.000075,0.00047
3000,17.73493976,0.000083,0.001472,,,,3000,8.675,0.00008,0.000694
4000,21.8372093,0.000086,0.001878,,,,4000,9.593023256,0.000086,0.000825
5000,25.67032967,0.000091,0.002336,,,,5000,12.86206897,0.000087,0.001119
6000,29.02150538,0.000093,0.002699,,,,6000,13.91304348,0.000092,0.00128
7000,29.56842105,0.000095,0.002809,,,,7000,14.21276596,0.000094,0.001336
8000,32.13265306,0.000098,0.003149,,,,8000,17.44680851,0.000094,0.00164
9000,35.9,0.0001,0.00359,,,,9000,18.84615385,0.000091,0.001715
10000,37.00970874,0.000103,0.003812,,,,10000,18.27272727,0.000099,0.001809
11000,38.93518519,0.000108,0.004205,,,,11000,19.68627451,0.000102,0.002008
12000,43.06542056,0.000107,0.004608,,,,12000,22.08737864,0.000103,0.002275
13000,36.9453125,0.000128,0.004729,,,,13000,20.83333333,0.000108,0.00225
14000,45.36842105,0.000114,0.005172,,,,14000,24.12962963,0.000108,0.002606
15000,41.14184397,0.000141,0.005801,,,,15000,26.11711712,0.000111,0.002899
16000,49.22689076,0.000119,0.005858,,,,16000,24.73043478,0.000115,0.002844
17000,51.36065574,0.000122,0.006266,,,,17000,27.26548673,0.000113,0.003081
18000,51.57142857,0.000126,0.006498,,,,18000,27.30434783,0.000115,0.00314
19000,77,0.000128,0.009856,,,,19000,28.54918033,0.000122,0.003483
20000,60.0483871,0.000124,0.007446,,,,20000,30.2295082,0.000122,0.003688
21000,58.10077519,0.000129,0.007495,,,,21000,29.67741935,0.000124,0.00368
22000,63.83870968,0.000124,0.007916,,,,22000,32.27777778,0.000126,0.004067
23000,60.84444444,0.000135,0.008214,,,,23000,31.65079365,0.000126,0.003988
24000,59.05797101,0.000138,0.00815,,,,24000,33.50413223,0.000121,0.004054
25000,60.68794326,0.000141,0.008557,,,,25000,33.78625954,0.000131,0.004426
